year,fips,beverage_type,beverage_name,gallons_beverage,gallons_ethanol,population_14plus,ethanol_pc_14plus,decile_14plus,population_21plus,ethanol_pc_21plus,decile_21plus,data_source,abv,ethanol_timevarying_abv,ethanol_pc_14plus_x10000,ethanol_pc_21plus_x10000,abv_x1000,Unnamed: 18,Unnamed: 19,location_abbr
2015,1,1,Spirits,6241706.0,2565341,401058,0.6396,9.0,356134,0.7203,9.0,6.0,0.377,2353123,6396,7203,377.0,,,AL
2015,1,2,Wine,7975742.0,1028871,401058,0.2565,8.0,356134,0.2889,8.0,7.0,0.123,981016,2565,2889,123.0,,,AL
2015,1,3,Beer,99324000.0,4469580,401058,1.1144,6.0,356134,1.255,6.0,7.0,0.048,4767552,11144,12550,48.0,,,AL
2015,1,4,All beverages,,8063792,401058,2.0106,9.0,356134,2.2643,9.0,,,8101691,20106,22643,,,,AL
2015,2,1,Spirits,1726249.0,709488,59171,1.199,2.0,52417,1.3535,2.0,1.0,0.38,655975,11990,13535,380.0,,,AK
2015,2,2,Wine,2423746.0,312663,59171,0.5284,3.0,52417,0.5965,3.0,1.0,0.123,298121,5284,5965,123.0,,,AK
2015,2,3,Beer,14597787.0,656900,59171,1.1102,6.0,52417,1.2532,6.0,1.0,0.048,700694,11102,12532,48.0,,,AK
2015,2,4,All beverages,,1679052,59171,2.8376,2.0,52417,3.2032,2.0,,,1654790,28376,32032,,,,AK
2015,4,1,Spirits,10656826.0,4379956,557227,0.786,6.0,492457,0.8894,6.0,7.0,0.385,4102878,7860,8894,385.0,,,AZ
2015,4,2,Wine,17294518.0,2230993,557227,0.4004,5.0,492457,0.453,5.0,7.0,0.122,2109931,4004,4530,122.0,,,AZ
2015,4,3,Beer,143964000.0,6478380,557227,1.1626,5.0,492457,1.3155,5.0,7.0,0.047,6766308,11626,13155,47.0,,,AZ
2015,4,4,All beverages,,13089329,557227,2.349,6.0,492457,2.658,6.0,,,12979117,23490,26580,,,,AZ
2015,5,1,Spirits,3832775.0,1575270,243281,0.6475,9.0,215434,0.7312,9.0,2.0,0.383,1467953,6475,7312,383.0,,,AR
2015,5,2,Wine,4063739.0,524222,243281,0.2155,9.0,215434,0.2433,9.0,2.0,0.123,499840,2155,2433,123.0,,,AR
2015,5,3,Beer,52175538.0,2347899,243281,0.9651,9.0,215434,1.0898,9.0,2.0,0.048,2504426,9651,10898,48.0,,,AR
2015,5,4,All beverages,,4447392,243281,1.8281,10.0,215434,2.0644,10.0,,,4472219,18281,20644,,,,AR
2015,6,1,Spirits,58433032.0,24015976,3184393,0.7542,8.0,2820082,0.8516,7.0,3.0,0.385,22496717,7542,8516,385.0,,,CA
2015,6,2,Wine,131467968.0,16959368,3184393,0.5326,3.0,2820082,0.6014,3.0,3.0,0.122,16039092,5326,6014,122.0,,,CA
2015,6,3,Beer,705526842.0,31748708,3184393,0.997,8.0,2820082,1.1258,8.0,3.0,0.048,33865288,9970,11258,48.0,,,CA
2015,6,4,All beverages,,72724052,3184393,2.2838,6.0,2820082,2.5788,6.0,,,72401097,22838,25788,,,,CA
2015,8,1,Spirits,12440331.0,5112976,447442,1.1427,2.0,398509,1.283,2.0,1.0,0.38,4727326,11427,12830,380.0,,,CO
2015,8,2,Wine,17620913.0,2273098,447442,0.508,4.0,398509,0.5704,4.0,1.0,0.122,2149751,5080,5704,122.0,,,CO
2015,8,3,Beer,111460686.0,5015731,447442,1.121,6.0,398509,1.2586,6.0,1.0,0.047,5238652,11210,12586,47.0,,,CO
2015,8,4,All beverages,,12401805,447442,2.7717,3.0,398509,3.112,3.0,,,12115729,27717,31120,,,,CO
2015,9,1,Spirits,6997711.0,2876059,301742,0.9531,4.0,266761,1.0781,4.0,1.0,0.377,2638137,9531,10781,377.0,,,CT
2015,9,2,Wine,14257374.0,1839201,301742,0.6095,2.0,266761,0.6895,2.0,1.0,0.122,1739400,6095,6895,122.0,,,CT
2015,9,3,Beer,56661464.0,2549766,301742,0.845,10.0,266761,0.9558,10.0,1.0,0.048,2719750,8450,9558,48.0,,,CT
2015,9,4,All beverages,,7265026,301742,2.4077,5.0,266761,2.7234,5.0,,,7097287,24077,27234,,,,CT
2015,10,1,Spirits,3337023.0,1371516,78465,1.7479,1.0,70124,1.9558,1.0,1.0,0.379,1264732,17479,19558,379.0,,,DE
2015,10,2,Wine,4397920.0,567332,78465,0.723,1.0,70124,0.809,1.0,1.0,0.123,540944,7230,8090,123.0,,,DE
2015,10,3,Beer,20653471.0,929406,78465,1.1845,4.0,70124,1.3254,4.0,1.0,0.048,991367,11845,13254,48.0,,,DE
2015,10,4,All beverages,,2868254,78465,3.6554,1.0,70124,4.0903,1.0,,,2797043,36554,40903,,,,DE
2015,11,1,Spirits,2347780.0,964937,57890,1.6668,1.0,52530,1.8369,1.0,7.0,0.39,915634,16668,18369,390.0,,,DC
2015,11,2,Wine,4545705.0,586396,57890,1.0129,1.0,52530,1.1163,1.0,7.0,0.122,554576,10129,11163,122.0,,,DC
2015,11,3,Beer,14570000.0,655650,57890,1.1326,5.0,52530,1.2481,6.0,7.0,0.048,699360,11326,12481,48.0,,,DC
2015,11,4,All beverages,,2206983,57890,3.8124,1.0,52530,4.2014,1.0,,,2169570,38124,42014,,,,DC
2015,12,1,Spirits,40882073.0,16802532,1707042,0.9843,3.0,1541007,1.0904,3.0,1.0,0.384,15698716,9843,10904,384.0,,,FL
2015,12,2,Wine,71972446.0,9284445,1707042,0.5439,3.0,1541007,0.6025,3.0,1.0,0.122,8780638,5439,6025,122.0,,,FL
2015,12,3,Beer,421229917.0,18955346,1707042,1.1104,6.0,1541007,1.2301,6.0,1.0,0.048,20219036,11104,12301,48.0,,,FL
2015,12,4,All beverages,,45042324,1707042,2.6386,4.0,1541007,2.9229,4.0,,,44698390,26386,29229,,,,FL
2015,13,1,Spirits,13928758.0,5724720,825667,0.6933,9.0,726571,0.7879,8.0,7.0,0.388,5404358,6933,7879,388.0,,,GA
2015,13,2,Wine,15919912.0,2053669,825667,0.2487,9.0,726571,0.2827,8.0,7.0,0.122,1942229,2487,2827,122.0,,,GA
2015,13,3,Beer,185163000.0,8332335,825667,1.0092,8.0,726571,1.1468,8.0,7.0,0.047,8702661,10092,11468,47.0,,,GA
2015,13,4,All beverages,,16110724,825667,1.9512,9.0,726571,2.2174,9.0,,,16049248,19512,22174,,,,GA
